Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
804,C608513F,CN / 608 - Tree (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
805,C608513A,CN / 608 - Tree (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
806,E655001S,CN / 655 - Path (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
807,E655001T,CN / 655 - Path (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
808,E655001F,CN / 655 - Path (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
809,E655001A,CN / 655 - Path (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
810,C602501S,CN / 602 - Price Tags (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
811,C602501T,CN / 602 - Price Tags (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
812,C602501F,CN / 602 - Price Tags (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
813,C602501A,CN / 602 - Price Tags (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
814,C602502S,CN / 602 - Price Tags (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
815,C602502T,CN / 602 - Price Tags (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
816,C602502F,CN / 602 - Price Tags (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
817,C602502A,CN / 602 - Price Tags (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
818,C602503S,CN / 602 - Price Tags (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
819,C602503T,CN / 602 - Price Tags (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
820,C602503F,CN / 602 - Price Tags (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
821,C602503A,CN / 602 - Price Tags (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
822,C611516S,CN / 611 - Temp Scale (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
823,C611516T,CN / 611 - Temp Scale (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
824,C611516F,CN / 611 - Temp Scale (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
825,C611516A,CN / 611 - Temp Scale (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
826,C611517S,CN / 611 - Temp Scale (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
827,C611517T,CN / 611 - Temp Scale (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
828,C611517F,CN / 611 - Temp Scale (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
829,C611517A,CN / 611 - Temp Scale (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
830,C606509S,CN / 606 - Solution (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
831,C606509T,CN / 606 - Solution (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
832,C606509F,CN / 606 - Solution (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
833,C606509A,CN / 606 - Solution (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
834,E665001S,CN / 665 - Cooper test (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
835,E665001T,CN / 665 - Cooper test (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
836,E665001F,CN / 665 - Cooper test (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
837,E665001A,CN / 665 - Cooper test (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
838,E665002S,CN / 665 - Cooper test (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
839,E665002T,CN / 665 - Cooper test (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
840,E665002F,CN / 665 - Cooper test (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
841,E665002A,CN / 665 - Cooper test (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
842,C622615S,CN / 622 - Classified (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
843,C622615T,CN / 622 - Classified (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
844,C622615F,CN / 622 - Classified (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
845,C622615A,CN / 622 - Classified (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
846,E636001S,CN / 636 - Lab Report (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
847,E636001T,CN / 636 - Lab Report (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
848,E636001F,CN / 636 - Lab Report (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
849,E636001A,CN / 636 - Lab Report (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
850,C617605S,CN / 617 - Map (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
851,C617605T,CN / 617 - Map (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
852,C617605F,CN / 617 - Map (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
853,C617605A,CN / 617 - Map (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
854,C617606S,CN / 617 - Map (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
855,C617606T,CN / 617 - Map (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
856,C617606F,CN / 617 - Map (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
857,C617606A,CN / 617 - Map (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
858,E641001S,CN / 641 - Amoeba (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
859,E641001T,CN / 641 - Amoeba (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
860,E641001F,CN / 641 - Amoeba (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
861,E641001A,CN / 641 - Amoeba (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
862,E661001S,CN / 661 - Study fees (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
863,E661001T,CN / 661 - Study fees (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
864,E661001F,CN / 661 - Study fees (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
865,E661001A,CN / 661 - Study fees (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
866,E661002S,CN / 661 - Study fees (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
867,E661002T,CN / 661 - Study fees (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
868,E661002F,CN / 661 - Study fees (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
869,E661002A,CN / 661 - Study fees (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
870,E660003S,CN / 660 - Weight history (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
871,E660003T,CN / 660 - Weight history (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
872,E660003F,CN / 660 - Weight history (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
873,E660003A,CN / 660 - Weight history (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
874,E660004S,CN / 660 - Weight history (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
875,E660004T,CN / 660 - Weight history (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
876,E660004F,CN / 660 - Weight history (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
877,E660004A,CN / 660 - Weight history (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
878,E634001S,CN / 634 - Peanuts (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
879,E634001T,CN / 634 - Peanuts (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
880,E634001F,CN / 634 - Peanuts (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
881,E634001A,CN / 634 - Peanuts (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
882,E634002S,CN / 634 - Peanuts (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
883,E634002T,CN / 634 - Peanuts (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
884,E634002F,CN / 634 - Peanuts (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
885,E634002A,CN / 634 - Peanuts (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
886,E651002S,CN / 651 - Fertilizer (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
887,E651002T,CN / 651 - Fertilizer (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
888,E651002F,CN / 651 - Fertilizer (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
889,E651002A,CN / 651 - Fertilizer (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
890,E664001S,CN / 664 - Orchestra tickets (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
891,E664001T,CN / 664 - Orchestra tickets (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
892,E664001F,CN / 664 - Orchestra tickets (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
893,E664001A,CN / 664 - Orchestra tickets (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
894,E644002S,CN / 644 - NZExports (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
895,E644002T,CN / 644 - NZExports (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
896,E644002F,CN / 644 - NZExports (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
897,E644002A,CN / 644 - NZExports (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
898,C612518S,CN / 612 - Dioxin (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
899,C612518T,CN / 612 - Dioxin (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
900,C612518F,CN / 612 - Dioxin (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
901,C612518A,CN / 612 - Dioxin (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
902,U01a000A,Problem-solving Unit 01a (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
903,U01a000F,Problem-solving Unit 01a (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
904,U01a000T,Problem-solving Unit  01a (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
905,U01b000A,Problem-solving Unit  01b (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
906,U01b000F,Problem-solving Unit  01b (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
907,U01b000T,Problem-solving Unit  01b (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
908,U03a000A,Problem-solving Unit  03a (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
909,U03a000F,Problem-solving Unit  03a (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
910,U03a000T,Problem-solving Unit  03a (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
911,U06a000A,Problem-solving Unit  06a (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
912,U06a000F,Problem-solving Unit  06a (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
913,U06a000T,Problem-solving Unit  06a (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
914,U06b000A,Problem-solving Unit  06b (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
915,U06b000F,Problem-solving Unit  06b (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
916,U06b000T,Problem-solving Unit  06b (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
917,U21x000A,Problem-solving Unit  21 (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
918,U21x000F,Problem-solving Unit  21 (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
919,U21x000T,Problem-solving Unit  21 (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
920,U04a000A,Problem-solving Unit  04a (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
921,U04a000F,Problem-solving Unit  04a (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
922,U04a000T,Problem-solving Unit  04a (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
923,U19a000A,Problem-solving Unit 19a (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
924,U19a000F,Problem-solving Unit 19a (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
925,U19a000T,Problem-solving Unit 19a (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
926,U19b000A,Problem-solving Unit 19b (Number of Actions),Integer,Ratio,4,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
927,U19b000F,Problem-solving Unit 19b (Time to First Action),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
928,U19b000T,Problem-solving Unit 19b (Total Time),Integer,Ratio,8,0,Problem solving (computer),,"Cognitive (""not reached"")",Values,
